url,projectName,pullRequestId,sourceFiles,defs,uses,diffs,totalPartitions,nonTrivialPartitions,trivialPartitions,merged,markedAsMerged,reasonForRejection
https://github.com/junit-team/junit/pull/397,junit-team/junit,397,3,89,84,19,6,1,5,true,true,
https://github.com/dropwizard/dropwizard/pull/634,dropwizard/dropwizard,634,1,94,92,9,1,1,0,true,true,
https://github.com/facebook/presto/pull/342,facebook/presto,342,1,119,433,1,1,0,1,true,true,
https://github.com/netty/netty/pull/927,netty/netty,927,3,257,1008,5,2,0,2,true,false,
https://github.com/netty/netty/pull/3618,netty/netty,3618,2,455,1903,14,3,2,1,true,false,
https://github.com/junit-team/junit/pull/353,junit-team/junit,353,13,225,283,90,21,4,17,false,false,"Because the review took a long time, the contributor lost interest in the pull request."
https://github.com/dropwizard/dropwizard/pull/540,dropwizard/dropwizard,540,3,153,265,6,1,1,0,true,true,
https://github.com/libgdx/libgdx/pull/2045,libgdx/libgdx,2045,2,50,32,1,1,0,1,true,true,
https://github.com/spring-projects/spring-boot/pull/3056,spring-projects/spring-boot,3056,4,83,118,22,9,4,5,true,false,
https://github.com/dropwizard/dropwizard/pull/113,dropwizard/dropwizard,113,7,90,92,45,22,2,20,false,false,Maintainer thought it would be best to refuse the proposed feature.
https://github.com/spring-projects/spring-boot/pull/3363,spring-projects/spring-boot,3363,6,623,1199,19,2,1,1,true,false,
https://github.com/elastic/elasticsearch/pull/4666,elastic/elasticsearch,4666,3,248,490,13,4,1,3,true,false,
https://github.com/dropwizard/metrics/pull/257,dropwizard/metrics,257,2,61,101,5,1,1,0,false,false,Rejected because it is not a bug.
https://github.com/netty/netty/pull/3421,netty/netty,3421,5,103,126,23,5,3,2,true,false,
https://github.com/junit-team/junit/pull/571,junit-team/junit,571,5,175,200,42,32,1,31,false,false,Was already fixed.
https://github.com/netty/netty/pull/512,netty/netty,512,1,13,14,0,0,0,0,true,true,
https://github.com/netty/netty/pull/2578,netty/netty,2578,35,3045,7242,148,25,4,21,true,false,
https://github.com/elastic/elasticsearch/pull/12073,elastic/elasticsearch,12073,3,56,104,24,4,1,3,true,true,
https://github.com/dropwizard/metrics/pull/80,dropwizard/metrics,80,1,121,349,1,1,0,1,false,false,Core dev made a better fix
https://github.com/netty/netty/pull/2802,netty/netty,2802,6,666,2420,101,26,4,22,true,false,
https://github.com/elastic/elasticsearch/pull/11835,elastic/elasticsearch,11835,2,121,347,5,3,1,2,true,true,
https://github.com/square/okhttp/pull/1623,square/okhttp,1623,1,249,616,0,0,0,0,true,true,
https://github.com/facebook/presto/pull/2044,facebook/presto,2044,1,29,52,0,0,0,0,true,true,
https://github.com/dropwizard/dropwizard/pull/473,dropwizard/dropwizard,473,5,158,274,24,2,1,1,true,true,
https://github.com/netty/netty/pull/3444,netty/netty,3444,1,86,176,0,0,0,0,true,false,
https://github.com/netty/netty/pull/2682,netty/netty,2682,1,85,208,2,2,0,2,true,false,
https://github.com/junit-team/junit/pull/1031,junit-team/junit,1031,1,241,283,4,2,2,0,false,false,Project specific technical reasons
https://github.com/dropwizard/metrics/pull/323,dropwizard/metrics,323,1,20,30,9,2,1,1,false,false,Reason was not stated. I guess it was not a bug.
https://github.com/spring-projects/spring-framework/pull/452,spring-projects/spring-framework,452,1,98,196,4,1,0,1,true,false,Associated issue in JIRA bug tracker of the project indicates the pull request was merged.
https://github.com/elastic/elasticsearch/pull/2469,elastic/elasticsearch,2469,1,65,216,1,1,0,1,true,false,
https://github.com/dropwizard/metrics/pull/237,dropwizard/metrics,237,3,59,71,5,5,0,5,false,false,Reason was not stated.
https://github.com/facebook/presto/pull/3192,facebook/presto,3192,1,300,1491,4,1,0,1,true,false,
https://github.com/dropwizard/dropwizard/pull/713,dropwizard/dropwizard,713,1,25,23,1,1,0,1,false,false,Core dev made a better fix
https://github.com/dropwizard/metrics/pull/111,dropwizard/metrics,111,1,140,397,1,1,0,1,true,true,
https://github.com/dropwizard/metrics/pull/117,dropwizard/metrics,117,1,9,1,5,5,0,5,true,true,
https://github.com/facebook/presto/pull/1340,facebook/presto,1340,1,139,339,7,1,0,1,true,true,
https://github.com/dropwizard/dropwizard/pull/725,dropwizard/dropwizard,725,1,9,2,1,1,0,1,true,true,
